artist,genre
Yellow Swans,"['drone', 'experimental psych', 'rock noise', 'hauntology', 'japanoise', 'japanese psychedelic', 'warm drone', 'noise']"
L'Renee,"['neo soul-jazz', 'neo soul']"
Quiet Hounds,[]
OUR LADY PEACE,"['post-grunge', 'pop rock', 'grunge', 'alternative rock', 'alternative metal', 'rock']"
VoidDS,[]
Sailor & I,[]
BABYS,"['album rock', 'rock', 'soft rock', 'classic rock']"
MOODY BLUES,"['progressive rock', 'symphonic rock', 'art rock', 'soft rock', 'album rock', 'psychedelic rock', 'mellow gold', 'folk rock', 'british blues', 'pop christmas', 'rock']"
Computer Juice,['destroy techno']
Andrey Zots,[]
ELLA FITZGERALD,"['vocal jazz', 'jazz christmas', 'lounge', 'cabaret', 'christmas', 'adult standards', 'swing']"
Blue Sky Black Death,"['abstract hip hop', 'underground hip hop', 'turntablism', 'alternative hip hop']"
AL HIRT,"['new orleans jazz', 'easy listening', 'exotica', 'lounge', 'jazz christmas']"
GARY PUCKETT,['bubblegum pop']
DAVID BANNER featuring CHRIS BROWN,"['crunk', 'dirty south rap', 'southern hip hop', 'pop rap', 'trap music', 'gangster rap', 'juggalo', 'alternative hip hop', 'hip hop', 'pop christmas']"
LUSTRA,"['punk christmas', 'pop punk']"
GRAND FUNK,[]
Source Direct,"['drumfunk', 'jungle', 'drum and bass', 'neurofunk', 'liquid funk']"
COLOURS,[]
Walpurgis,['kraut rock']
Joan Armatrading,"['folk-pop', 'singer-songwriter', 'folk christmas', 'folk rock', 'traditional folk', 'mellow gold', 'new wave pop', 'folk', 'roots rock', 'soft rock', 'lilith']"
THE LONELY ISLAND featuring MICHAEL BOLTON,['comic']
TINASHE featuring SCHOOLBOY Q,"['metropopolis', 'pop']"
Simian,"['new rave', 'dance-punk', 'alternative dance', 'electroclash', 'electro house', 'indietronica', 'synthpop']"
Silver Daggers,"['noise punk', 'rock noise', 'noise rock']"
BOX TOPS,"['british invasion', 'bubblegum pop', 'merseybeat', 'british blues', 'classic garage rock', 'freakbeat', 'brill building pop', 'rock-and-roll']"
FEATHER,[]
JERMAINE STEWART,"['freestyle', 'hi nrg', 'new wave pop']"
Philip Grass,[]
GYPTIAN,"['dancehall', 'lovers rock', 'roots reggae']"
2PAC featuring KC AND JOJO,"['gangster rap', 'hip hop', 'rap', 'g funk', 'pop rap']"
ARTHUR PRYSOCK,"['vocal jazz', 'adult standards', 'cabaret']"
The Dead C,"['experimental rock', 'nz indie', 'japanese psychedelic', 'experimental', 'japanoise', 'noise rock', 'kiwi rock', 'no wave', 'noise punk', 'post-punk']"
Tyler Farr,"['modern country rock', 'country road', 'contemporary country']"
Subeena,"['bass music', 'dubstep', 'future garage', 'footwork']"
BOBBY POWELL,"['deep southern soul', 'southern soul blues', 'southern soul', 'soul christmas', 'memphis soul', 'soul blues']"
Amber Lawrence,"['australian country', 'deep contemporary country', 'country dawn']"
JIMMIE RODGERS,[]
PAUL McCARTNEY & WINGS,[]
TEAIRRA MARI,"['hip pop', 'r&b', 'urban contemporary', 'dance pop']"
PNM,[]
ALICE COOPER,"['hard rock', 'heavy christmas', 'rock', 'glam rock', 'album rock', 'metal', 'classic rock', 'protopunk']"
George Ducas,['deep contemporary country']
JENNIFER LOPEZ feat JADAKISS & STYLES,"['dance pop', 'pop', 'europop', 'teen pop', 'urban contemporary']"
DEBELAH MORGAN,"['r&b', 'urban contemporary', 'hip pop']"
